userName,score,content,at,thumbsUpCount,source,app
Jagger Norden,2,price good hate choice thing almost everything choice want buy one thing three please remove aliexpress,2026-03-12 13:02:02,1,all_cleaned,unknown
Jesson,1,brought faulty item refused credit refund unable submit video picture due site accepting file even though format wa correct uninstalling mere 12,2026-03-12 12:23:59,0,all_cleaned,unknown
Jamie Harris,1,unsubscribe certain notification category still receive notification category practice unlawful,2026-03-12 10:41:23,0,all_cleaned,unknown
Michael K,1,aliexpress ha reached new low fail deliver combined shipment multiple item also provided false tracking information paypal block legitimate refund support nonexistent buyer protection complete fabrication escalating fraudulent transaction credit card company force chargeback trust platform money lie payment processor avoid taking responsibility,2026-03-12 10:28:27,1,all_cleaned,unknown
rrockstaarr,1,terrible app havnt received order well month refund keep replying someone get back within 2448 hour message every three day still response buy,2026-03-12 10:18:33,1,all_cleaned,unknown
Cynthia Swartout,1,unsubscribed still get email interested company dont know still get email unsubscribed wish would stop sending email please thank,2026-03-12 09:46:43,0,all_cleaned,unknown
John Ogba,1,bad experience bought fake damaged glass compensation wasted 3299 nothing use video camera glass twice stopped charging sudden glass pulled lens disappointed customer service said anything mean dispose glass lose money continue give bad feedback nothing done,2026-03-12 09:40:26,0,all_cleaned,unknown
Martin Gray,1,tried ordered thing one offer package arrived yodel left doorstep hour finally got home opened half item missing customer support unable figure want refund item replacing keep trying blame courier edit went horrendous refund process raise refund per item missing got rejected proof courier didnt video opening crazy,2026-03-12 09:22:16,1,all_cleaned,unknown
Hans Ko,1,site dispose factory defect attractive price well advertised one thing shipped another customer service return refund nightmare many already stated dont fall scam site,2026-03-12 09:12:24,1,all_cleaned,unknown
Arminas Matulevicius,5,couldnt say anything bad like amazon cheaper lot cheaper u get prize,2026-03-12 08:39:04,0,all_cleaned,unknown
Gary Shaw,3,ok play game shop really,2026-03-12 08:08:25,0,all_cleaned,unknown
Thomas Arthur,5,amazed,2026-03-12 07:25:11,0,all_cleaned,unknown
See Ro,5,lapp è meravigliosa vogliamo di nuovo per nuovi utenti lofferta del 099 oppure 3 articoli con 3 di disconto,2026-03-12 07:21:47,0,all_cleaned,unknown
Senzo blessing Cele,5,yes pay,2026-03-12 06:20:22,0,all_cleaned,unknown
Zachary Hernandez,1,signed account instantly got account locked could even make first purchase appealed still didnt tell account wa locked waste time,2026-03-12 05:26:23,0,all_cleaned,unknown
Paris Tunc,1,crime gang,2026-03-12 04:52:53,0,all_cleaned,unknown
Paris Tunc,1,r seller send scam 2kg battery instead 20kg 160 charged 2 week make still stuck limbo read review well known con artist many people l criminal minded company cancelling fraud reveryday multiple time nothing warned put bank case give total black list brand didnt listen got email paying willpenalise,2026-03-12 04:45:50,0,all_cleaned,unknown
Emily Coleman,5,everything cheap easy order receive time always good product,2026-03-12 01:45:45,0,all_cleaned,unknown
Ankur Jain,1,simple word pathetic experience aliexpress best whoever using portal,2026-03-12 01:40:07,0,all_cleaned,unknown
ПСИХОПАТИНА,1,lie every turn,2026-03-12 01:37:03,0,all_cleaned,unknown
Eyo Peter,3,ordering nigeria know one way trip item damaged wont able return ive lost serious money almost 100k one seller sent amoled display doesnt work platform doesnt realistic return logistics nigeria like temu take risk go ahead,2026-03-12 01:16:13,1,all_cleaned,unknown
Leashanta Chism,1,wish could give minus package stolen even police report couldnt get refund,2026-03-12 01:02:10,0,all_cleaned,unknown
Ruth Mawson,1,account locked ive never used aliexpress download thing youre account locked tried sign wouldnt email phone number first uk code suddenly im aliexpress site go look something please sign phone number please enter valid phone number enter time uk code front please enter valid phone number never uninstalling,2026-03-12 00:58:13,2,all_cleaned,unknown
Scott Conder,1,seller photo description misleading price gotten high seller raised price 500 item worth search algorithm garbage aliexpress need govern seller action better waste much time looking want get frustrated go ebay instead,2026-03-12 00:27:03,4,all_cleaned,unknown
Mr Smith,1,ha stopped accepting debitcredit card,2026-03-12 00:05:51,0,all_cleaned,unknown
Faith McLean,5,love aliexpress theyre much better another online place buy stuff buy something 2 dont spend 20 like website far disappointed anything bought bought lot stuff month half ive bought 100 item,2026-03-11 23:58:23,0,all_cleaned,unknown
Christopher Atkin,5,thought wa going like wish temu make wild claim free stuff discount buck weirdest thing happened though telling truth arent making extravagant claim like others one making honor whole family ordering long shipping time downside even enough knock star tell advance long take,2026-03-11 23:56:47,0,all_cleaned,unknown
Lio B10,1,3 package never received arrived wrong city one answered 4 mail sent back refund aliexpress take responsibility never order,2026-03-11 21:57:21,0,all_cleaned,unknown
Adina L,5,many item see different vendor sure read product review use common sense find great item thing work like expected customer service help amazing,2026-03-11 21:55:53,1,all_cleaned,unknown
Marcie Graham,1,never got stuff lied mailing source dont trust lost money temu better,2026-03-11 21:53:27,0,all_cleaned,unknown
Dontae Hufflin,5,awesome service never single issue send advertised every single time cant beat price product temu wish nothing aliexpress,2026-03-11 21:14:59,0,all_cleaned,unknown
Jo Carbonell,1,orrderd window tint wa two week ago still nothing guess delivery person wanted package decided fill order keep moneywhy think thing cheap advertisingthey keep money,2026-03-11 17:23:22,0,all_cleaned,unknown
Ammar M.Ahmad,5,nice app,2026-03-11 16:56:04,0,all_cleaned,unknown
Bridgette Schram,1,horrible business avoid cost wa missing item order refused refund asked prove never received use temu faster shipping reliable excellent customer service,2026-03-11 16:39:01,1,all_cleaned,unknown
Nicole Trammell,5,fun,2026-03-11 15:29:00,0,all_cleaned,unknown
tjan putri,1,honestly havent experience app couldnt use live indonesia downloaded shopping app saw cute bag app oppened need choose country region live right searched country indonesia saw neighbouring country malaysia couldnt experience full shopping experience hope could add indonesia app please,2026-03-11 15:12:44,1,all_cleaned,unknown
Matas Matas,5,good app im going lie found garbage item could explode easily,2026-03-11 13:54:08,0,all_cleaned,unknown
D Bier,1,absolute garbage dint suggest app make purchase 50 stolen lose money time sanity customer service even less low quality item tried get refund stolen package 5 time said prove doe one prove shook person hand met app stupid pointless go temu,2026-03-11 13:52:46,0,all_cleaned,unknown
CATCH22,3,seller polite helpful use chat bot item sent cant get satisfactory answer,2026-03-11 13:23:47,1,all_cleaned,unknown
J,5,really good app product come good shape ha affordable price,2026-03-11 12:05:12,0,all_cleaned,unknown
Sara J,1,register account,2026-03-11 11:22:59,0,all_cleaned,unknown
Coems,1,ordered charger waited 10 day arrived county order wa unsucesfull,2026-03-11 08:54:13,1,all_cleaned,unknown
Benjamin Brewer,4,like app good,2026-03-11 08:53:13,0,all_cleaned,unknown
Jaco van As,1,wa hesitant start trusted gut aliexpress scam wait ever get product robbed giving way ordered complain put provide solid proof say still enough proof lost money scam reporting play store well,2026-03-11 08:42:40,1,all_cleaned,unknown
philip paranthoiene,4,nb never give 5 star anything 4 star maximum issue delivery got country disappearedali express prompt courteous deal wa eventually refunded full amount purchased item,2026-03-11 08:06:57,0,all_cleaned,unknown
Alex,1,buy shop doesnt allow use real name customer service even email ai go circle dont want buy fine thats,2026-03-11 07:43:39,1,all_cleaned,unknown
Alex likes dogs,1,slowit show gross image matter look upthings like infection sexual image item say delivered didnt get dont get refund page refreshes every time try get one cant also ha thing like swastika l0li customer service doesnt help take 50 picture item return even didnt get item literally way get refund install,2026-03-11 06:46:07,12,all_cleaned,unknown
Ronnie,1,full scammer constantly spamming email push notification dog,2026-03-11 04:56:46,1,all_cleaned,unknown
Ethel Reid,1,letting pick want,2026-03-11 04:43:07,0,all_cleaned,unknown
Kimberly Dumas,1,sell credit card number,2026-03-11 04:25:58,0,all_cleaned,unknown
Tammy Skifstad,5,useful,2026-03-11 03:40:25,0,all_cleaned,unknown
Craig Maybury,1,app crashing constantly cant acess play earm area,2026-03-11 02:53:35,0,all_cleaned,unknown
King Cardigan,4,terrible experience z fold samsung device app cool fold well say confusing confusing describe except look like two aliexpress apps running side side dont know one use annoying,2026-03-11 02:26:43,0,all_cleaned,unknown
Rob G,1,terrible customer service impossible get money back faulty product shipped,2026-03-11 02:20:19,1,all_cleaned,unknown
Dirty South 316,1,absolute jokedo use website absolute joke,2026-03-11 00:23:02,1,all_cleaned,unknown
Hassan Jones,1,deliver package asked refund replacement wa ignored never received anything back regarding situation,2026-03-10 23:58:35,1,all_cleaned,unknown
Kevin Mcmahon,4,excellent,2026-03-10 23:47:10,0,all_cleaned,unknown
Matt Schellhaas,5,lalalaley try aliexpress thery freaking scammer trust aliexpress good,2026-03-10 23:33:59,0,all_cleaned,unknown
Ti to,5,شكرا لجهودكم,2026-03-10 23:33:12,0,all_cleaned,unknown
Eric Laforge,1,always get scammed always find way,2026-03-10 23:15:15,198,all_cleaned,unknown
Zack,1,signed instantly started spamming uninstalled,2026-03-10 21:40:26,1,all_cleaned,unknown
Promise Abumere,1,wa scammed aliexpress seller accept partial refund defective item yet aliexpress refused refund complete lcd screen purchase fame doesnt fit pouch doesnt touch well followed instruction fix case complaining overheating frame side heat sink frame small unlike original screen part doe touch try another screen different screen order worked,2026-03-10 20:18:45,1,all_cleaned,unknown
Sonia Ikie,1,awful scammer transaction history lost paying good,2026-03-10 19:19:07,1,all_cleaned,unknown
Atif Ahmed,5,good,2026-03-10 17:21:46,0,all_cleaned,unknown
Mike M,2,advertising one thing sending another still waiting customer service get back order,2026-03-10 16:17:36,1,all_cleaned,unknown
Keno Ken,1,worst customer service world keep repeating answer ignoring customer completely also allow many counterfeit fraudulent item like 2tb thumb drive 5 dont refuse take obvious scam seem encourage zero care user,2026-03-10 15:46:49,1,all_cleaned,unknown
Enrique El Sato de Hato Rey,2,prefer website app buggy doesnt offer much,2026-03-10 13:31:02,1,all_cleaned,unknown
GTepanator,1,app kept sending one star trouble,2026-03-10 12:59:45,1,all_cleaned,unknown
Evarest Natse,1,ali express worst ive following refund 4 month till today never gotten money back app full scammer want money dont buy anything ali express,2026-03-10 12:19:25,1,all_cleaned,unknown
Patryk,4,na stronie z punktami pokazują się losowe zniżki których nie da się uzyskać mocno utrudnia zakupy edit okazało się że procentowa zniżka obok produktu uwzględnia też kupon zniżkowy nie tylko punkty nadal uważam że nie powinno tak być bo jest ikona punktu obok zniżki,2026-03-10 12:11:14,0,all_cleaned,unknown
Phil,1,trying get simple refund something clearly going delivered ordered long time ago instead simply refunding money less 3 getting big runaround stupid little bot refund money least think wont time im finished aliexpress theyre going wish refunded,2026-03-10 11:37:23,1,all_cleaned,unknown
Russell Perkins,1,disgusting treatment false advertising pair product sold never recieved claiming wa one item ive got evidence advert order receipt delayed delayed delayed im still fighting refund 2 month line never treated like company seller watch navrider seller total scam ali express enabling many like withholding refund admission negligence,2026-03-10 10:50:39,1,all_cleaned,unknown
Anthoz Duppiez,4,love app,2026-03-10 09:31:45,0,all_cleaned,unknown
Kyri J,1,long term loyal customer clear seller aliexpress work together customer problem arisemisleading advert documented verbal abuse seller legitimately complaining aliexpress really doe care act even appealswhen order something probability success return low problem shipping often coveredcontact support help automated waste time endless loop,2026-03-10 09:12:56,1,all_cleaned,unknown
Misty Vanhorn,5,fast delivery good price item product look good,2026-03-10 07:58:37,0,all_cleaned,unknown
Johan Spruyt,1,recommend aliexpress ordered item never received tracking appears item wa never sent item refund say item local custom yet contacting custom find nothing supplied tracking number shop risk,2026-03-10 06:37:24,1,all_cleaned,unknown
Xzaevory Gonzalez,3,nan,2026-03-10 06:16:52,1,all_cleaned,unknown
David GIlmore,5,excellent,2026-03-10 06:11:11,0,all_cleaned,unknown
Angela Stern,1,garbage comment,2026-03-10 06:11:01,1,all_cleaned,unknown
S LMK,1,really sick constant pop ups ad let purchase peace ffs unable turn constant promotional message store flood message center impossible find important message user experience could possibly frustrating want play stupid mobile game coin absolute masterclass userhostile hateful design,2026-03-10 05:43:29,3,all_cleaned,unknown
Tia Cummings,5,great app love,2026-03-10 04:53:59,0,all_cleaned,unknown
Katelyn Selvaggio,2,bought pair earbuds charger wa completely broken dont work also bought stuff arrived broken unusable,2026-03-10 02:58:21,2,all_cleaned,unknown
Holly Benitez,5,purchased set ear bud for99 ive happy im going try make another purchase another great item,2026-03-10 02:35:23,0,all_cleaned,unknown
Kinsley,5,love,2026-03-10 01:40:24,0,all_cleaned,unknown
Meyola chudasama,1,order stuff 1st time customer never received tried get refund wa also impossible well never use app shop,2026-03-10 01:16:48,1,all_cleaned,unknown
Michael M,1,horrible app customer service,2026-03-10 01:08:04,1,all_cleaned,unknown
Gerri Cooper,1,ive enough purchasing thing item come totally different purchased coming get refund without even let know coming im shopping anymore seller crook false advertising straight good platform buy thing give one star less one,2026-03-10 00:51:45,1,all_cleaned,unknown
Angie,1,price honest add cart select shipping price become higher careful dishonest marketing tell one cheap price upcharge purchase item,2026-03-09 23:47:09,1,all_cleaned,unknown
Benjamin Van Dermark,1,3 item welcome gift get 3 pay 1 got canceled late dont get thing ordered lost welcome deal,2026-03-09 23:32:33,1,all_cleaned,unknown
trish Pyles,1,load,2026-03-09 23:21:46,1,all_cleaned,unknown
--,1,im registered google email address forcing useless npc cant sign anymore cant write email address aliexpress reading google play email violating gdpr,2026-03-09 22:52:26,1,all_cleaned,unknown
Mark -,1,cant upload video app requesting refund,2026-03-09 21:28:32,1,all_cleaned,unknown
porscha foster,1,talk false advertisement downloaded prove ps5 advertise ad wa 1 said yeah right downloaded 90016k plus 4065 shipping fee im sure grab ps5 around 500 shop shipping,2026-03-09 20:28:00,1,all_cleaned,unknown
Emmanuel,2,login keep logging theyve temporarily suspended account,2026-03-09 20:06:16,1,all_cleaned,unknown
Eric Malcomb,1,nightmare deal placed order saw shipped wa colorado tried track said didnt order even though confirmed paypal first email got back said found order able track wasnt contact customer service tell order doesnt exist account use different one ever one account wont give refund,2026-03-09 18:29:16,1,all_cleaned,unknown
I love Fnaf,5,ι αм ηєω нєяє αη ѕσяяу ι υѕє тнιѕ ƒσηт ι αм 9 уєαяѕ σℓ αη ι ƒιη тнιѕ νєяу σηƒυѕιηg вυт ι ℓσνє ιт ιтѕ ƒυη ωнєяє уσυ gєт αρρѕ,2026-03-09 18:15:45,0,all_cleaned,unknown
Sissie Payne,1,bad customer service,2026-03-09 16:56:06,1,all_cleaned,unknown
Luna,1,item missing order trouble getting money back,2026-03-09 16:33:13,1,all_cleaned,unknown
kourtly dentley,1,dont order wates time never came win order price went,2026-03-09 15:51:48,1,all_cleaned,unknown
A Mamun,1,full fraud scam seller messaging never comfortable always mixed promotional message,2026-03-09 15:39:22,1,all_cleaned,unknown
Stefan Flavius Chiper,5,cumpărați cu încredere produsele sunt de calitate înaltă și chiar sunt foarte bune indiferent de faptul că sunt produse în china nu avut niciodată problema cu cumpărăturile ba chiar prins niște oferte foarte avantajoase la produse de la branduri populare,2026-03-09 15:26:03,0,all_cleaned,unknown
adamebrahiem 6,1,terrible keep saying account freezing account ha risk registration,2026-03-09 15:16:40,0,all_cleaned,unknown
Captain Traveler,1,worst company ever see court,2026-03-09 14:48:05,0,all_cleaned,unknown
Dokiware,1,shipping fee way ridiculous,2026-03-09 14:26:16,0,all_cleaned,unknown
Kelly Baker,3,hi problem app ive updated also uninstall reinstalled wont let free gjft say keep saying doesnt support viewing local supermarket item please update app latest version done please sort,2026-03-09 13:48:51,0,all_cleaned,unknown
Sal,5,thank,2026-03-09 13:29:35,0,all_cleaned,unknown
Tracey Grimm,5,far always receive delivery earlier stated never problem,2026-03-09 12:34:17,0,all_cleaned,unknown
Chris Smith,1,uninstalled 12 form payment couldnt go,2026-03-09 09:57:23,0,all_cleaned,unknown
Hard Catz,1,worst experiencei try purchase appsthe transaction wa okeyi payed split tabbythe big big problem deliverdi waiting almost monthno chat courier codethey mark delivered dont received anythingi try contack sellerand ask arefundthey refusethey said show deliveredthe big question purchase febuary 7i paid febuary 7but tracking numberi bought january 28how come,2026-03-09 08:34:06,0,all_cleaned,unknown
Steven Brookshire,2,item purchased came expected great price get two free item first time buyer never came wa deleted cart promise wa never fulfilled unsatisfied wa main reason even started needed item wa going get bag also liked,2026-03-09 08:32:36,0,all_cleaned,unknown
W. Simmons,5,many cool gift,2026-03-09 08:25:34,0,all_cleaned,unknown
Liam Schrape,1,buyer beware bought lego style brick building kit son wa time purchase finally started working quality wa poor even adult assistance toy would fall apart slightest movement even trying add next piece model aliexpress seller mi ya toyneither take responsibility make goodwill refund credit moral story check purchase quality quickly receive,2026-03-09 07:04:42,0,all_cleaned,unknown
Eric Thomas,5,great app easy use discount applied automatically fast shipping local store even faster delivery,2026-03-09 05:17:33,0,all_cleaned,unknown
Victor S,3,year usage ive noticed something different purchase buying something high rating later open item already bought realize another store item ha low rating obviously another store owned person like buy something average rating 49 star one store later see wa purchased another store 41 rating,2026-03-09 05:11:23,8,all_cleaned,unknown
Shermonia Dobbs,5,wait package offer discount play game add order,2026-03-09 04:43:07,0,all_cleaned,unknown
Kevin Rankin,1,taken money 2 occasion never delivered item provide refund customer service worst send lengthy pasted message relevance response wa go back pathetic customer service wrote,2026-03-09 04:12:30,0,all_cleaned,unknown
Davis Ron,5,good app,2026-03-09 03:54:02,0,all_cleaned,unknown
SHaina Callaway,5,biy plow 67 since,2026-03-09 03:42:08,0,all_cleaned,unknown
frank quru,1,repetitive irrelevant response never address raised issue directly 2 month since placed order still keep telling transit arrived country 40 day ago see reply stupid still wanting repeat issue see ridiculous response,2026-03-09 03:10:22,1,all_cleaned,unknown
Diane,1,mostly everything bought wa cheap flimsy junk especially clothing wa new site bought lot stuff wish hadnt could found nicer stuff thrown away dumpster several item never even received complained wa ignored customer service phone number tried cancel couple order immediately ordered wa sent anyway wa charged despite effort put customer service,2026-03-09 03:00:26,0,all_cleaned,unknown
Travis Campbell,2,good,2026-03-09 02:27:46,0,all_cleaned,unknown
Trisna Di Japan,1,scam order wa sent maybe wa free,2026-03-08 23:13:33,0,all_cleaned,unknown
Abba abdullahi,5,gud app,2026-03-08 22:25:24,0,all_cleaned,unknown
sathish malamkunnu,1,price good temu better aliexpress,2026-03-08 21:31:38,1,all_cleaned,unknown
Rick Hess,5,far everything ordered ha fine order thing need,2026-03-08 19:14:09,0,all_cleaned,unknown
Bertha Mata,5,love continue order update havent purchased anything year someone used info purchased 200 dollar worth stuff uninstalled app miss ali,2026-03-08 19:08:19,0,all_cleaned,unknown
Lion Soldier,3,title great app impossible pay ghana really want use app give 5 star forced give 3 star payment method ghana u bank account international card use mtn mobile money momo everything million u ready buy stuck checkout add mtn momo app 1 choice ghana please help u shop adding local mobile money option,2026-03-08 19:03:02,0,all_cleaned,unknown
Colin Crowley,1,shortest app service ask photo bank card id illegal au closed,2026-03-08 16:37:29,1,all_cleaned,unknown
Victor Hugo,1,minha conta está dando problemas de segurança na hora de aplicar cupons porque só para aplicar cupons que dá erro de segurança duvido que se fosse uma compra ele iria dar mesmo bloqueio,2026-03-08 15:49:28,0,all_cleaned,unknown
CRO stress,1,support total joke suggest use app one edit trying contact support 2 open case getting robotic answer 20 time nobody read anything total joke avoid aliexpress,2026-03-08 14:39:18,0,all_cleaned,unknown
Marky B,1,dont expect refund avoid robbed customer service ai sends repetitive reply complaint avoid sent link doesnt work reply late deleted app warn others install,2026-03-08 14:32:21,0,all_cleaned,unknown
Herby Osbourne,1,horrible customer service locked account wont give reason help get back,2026-03-08 13:09:19,0,all_cleaned,unknown
S Marie,1,twice never received item wa never given refund courier never presented proof delivery time said item delivered hit miss good luck im 70 buck wa told needed provide proof never received item wheres delivery proof picture scam artist edit contacted aliexpress help center everyday almost 3 week spent hour wasting time ill never buy anything ever please dont waste time money people,2026-03-08 12:52:49,0,all_cleaned,unknown
Ben Hunt,1,dont honor fast ship program get run around spend extra dollar get tic tok shop,2026-03-08 12:35:23,0,all_cleaned,unknown
roger whittle,4,positive overall sometimes confusing,2026-03-08 11:19:38,0,all_cleaned,unknown
Philip Brady,5,really positive 95 tbe vendor,2026-03-08 10:33:57,0,all_cleaned,unknown
Ben P,1,using number time last order came broken transit packaging wa insufficient aliexpress made jump hoop hoop film photo reasonable amount application asked wa unreasonable long video photo package wa opened time date stamped showed opening finding broken item honour refund policy wont using scammer avoid,2026-03-08 10:17:58,1,all_cleaned,unknown
Fractal Codex,1,way view complete order individual item joke,2026-03-08 08:14:27,0,all_cleaned,unknown
Karel Zegers,3,mostly good advertising behaviour seller pretty bad advertising product price actually ordered change much higher cost example mitutoyo digimatic vernier memory card seller others reponse query request explanation shady behaviour well dealt aliexpress complained disappointing otherwise good site,2026-03-08 07:27:35,0,all_cleaned,unknown
De P,1,consistently got pop saying wa error order could completed contacting customer service help kept getting sent circle,2026-03-08 06:01:26,1,all_cleaned,unknown
Gorebox gaming yt,5,cheap almost item free shipping tho shipping time could faster,2026-03-08 05:43:35,0,all_cleaned,unknown
a7med_fix,1,take item returned refund unfortunately first take item refuse refund cheating unfortunately bad customer service money 1050 usd dollar gone give life,2026-03-08 05:00:26,0,all_cleaned,unknown
Yamileth Vides,1,muy mal experiencia con esta app te permite hacer ningún retorno ni aunque el cliente tenga la razón yo ordene vestido de quinceañera enviaron algo totalmente diferente lo que ofrece yo le envie fotos pruebas de lo que estaba diciendo ni aun asi dieron la autorización para devolver los vestido asi que toco quedarme con ellos solo malgaste mi dinero en esta app mi calificación para alixpress e de cero,2026-03-08 04:36:45,0,all_cleaned,unknown
Hjbihb Bjhbihb,1,app crash search,2026-03-08 04:26:43,0,all_cleaned,unknown
Hazator,1,new suggestionsif u ever search click one product itll haunt u forever recommendation everything related would throwed u even u uninterest,2026-03-08 04:26:35,1,all_cleaned,unknown
Pedram Rezaeian,1,app fraud unmatched price approved 38 end 48 shipping time take age charging 10 tax well wa third time definitely last time ordered something app ill make sure nobody else know make mistake unreliable unworthy time misleading price meanwhile put quality aside,2026-03-08 04:15:44,0,all_cleaned,unknown
Kim Barber,5,good far,2026-03-08 04:08:52,0,all_cleaned,unknown
Bennett Woodsum,2,mad said total wa 2 dollar wa charged 10 mad,2026-03-08 02:37:57,0,all_cleaned,unknown
Luis Arroyos,4,working great far,2026-03-08 02:12:34,0,all_cleaned,unknown
Davnar Ragnar,1,app either broken designed deliberately deceive customer spent time building bundle checked list went ahead purchase find item disappeared leaving 10 poorer quality item purchase price given 20 item way trace transaction see itemised receipt purchase must deal ali express via website secure browser install app,2026-03-08 02:01:10,0,all_cleaned,unknown
Jasmine Morris,5,awesome,2026-03-08 01:32:57,0,all_cleaned,unknown
Roeleen Bloemhof,2,spanish email come spanish annoying nothing happens following said,2026-03-08 00:34:54,0,all_cleaned,unknown
Delislav Asparuhov,1,much notification spam,2026-03-07 21:51:08,1,all_cleaned,unknown
Irina kalpacka,5,страхотно,2026-03-07 21:45:13,0,all_cleaned,unknown
Billy Pierce,1,good,2026-03-07 20:57:37,0,all_cleaned,unknown
Juan Roldan,1,sucked many ad buggy super hard stop sending email everything take forever arrive also might find 5 dollar item 20 dollar shipping yeah kinda useless,2026-03-07 20:31:42,1,all_cleaned,unknown
Mairaj Aslam,2,high tax app without tax disappointed,2026-03-07 20:22:13,0,all_cleaned,unknown
Andy Nisbet,1,massively reduce pointless animation nobody want theyre necessary make using app endurance rather enjoyment,2026-03-07 18:45:13,1,all_cleaned,unknown
Kandis Nikol Marek (BATMAN),2,yall making app like temu dont much like cant order want thats dont need anymore apps like temu temu suck dont temu,2026-03-07 18:30:10,1,all_cleaned,unknown
J R,3,great thing cheap thing suck delivery live building leave lobby floor anyone take front door,2026-03-07 16:47:47,0,all_cleaned,unknown
parky,1,scammer refuse refund make shipping error uk sanity choose locker delivery checkout instead tell evri deliver locker send email otherwise aliexpress might send stuff different courier unable deliver evris locker unable get refund scammer edit contact help centre think ive trying past week,2026-03-07 16:18:37,1,all_cleaned,unknown
Simon Jewry,1,rubbish scam app get burnt didnt want give one star able seems stupid star,2026-03-07 16:13:24,1,all_cleaned,unknown
FRITOSPORT,1,scammer fraud protect seller store never ship product provide fake tracking number senior team never help get refund item never delivered provide proof yet never help company doesnt honor 20day refund rule stay away thief,2026-03-07 15:46:25,1,all_cleaned,unknown
Adam,1,paid 3 90p deal delivery driver put bin without notice refunded 90p cant get anything im asking get bundledeal back,2026-03-07 15:29:54,0,all_cleaned,unknown
Marie Barrow,4,great app great product,2026-03-07 14:57:35,0,all_cleaned,unknown
Nwaneri Chrisbless,1,delivery tracking process especially electronics gadget coming china terrible time even tracking update stop updating customer service know nothing youll dark week information order whereabouts condition yeah understand delivery time varies buh least fv ck ing keep updated sometimes feel like uninstalling app stick temu,2026-03-07 13:45:51,0,all_cleaned,unknown
Muhammadu Abubakar abdu,5,good app order thing,2026-03-07 09:49:17,0,all_cleaned,unknown
Great Mogbey,4,agood app buy old thing buy ha high shipping fee,2026-03-07 09:20:04,0,all_cleaned,unknown
Delawno Allen,5,personally app ha reliable really like selection item affordable exceeded expectation first order overall wonderful app,2026-03-07 08:17:18,0,all_cleaned,unknown
CLEAVER SAMAKAYI,2,improve african service good app use ordering africa also stop sending ad email,2026-03-07 06:58:50,1,all_cleaned,unknown
Chris Diera,1,gave broken mess toy black suit action figure,2026-03-07 06:42:54,0,all_cleaned,unknown
