userName,score,content,at,thumbsUpCount,source,truthLabel,score_based,rule_based,final_label,final_label_3class,vader_prediction,afinn_score,afinn_prediction
Alex likes dogs,1,slowit shows gross images no matter look upthings like infections sexual images item says delivered didnt get dont get refund page refreshes every time try get one cant also things like swastikas l0li customer service doesnt help take 50 pictures item return even didnt get item literally no way get refunds not install,2026-03-11 06:46:07,12,labeled_reviews_raw,Negative,Negative,Negative,Negative,Negative,Negative,-5,Negative
Captain Traveler,1,worst company ever see court,2026-03-09 14:48:05,0,labeled_reviews_raw,Very Negative,Negative,Negative,Negative,Negative,Negative,-3,Negative
GIZMO SATANICO,1,not sign 10003 server network error,2026-03-12 16:56:00,0,labeled_reviews_raw,Neutral,Negative,Negative,Negative,Negative,Negative,-2,Negative
Lion Soldier,3,title great app impossible pay ghana really want use app give 5 stars forced give 3 stars payment methods ghana us not bank accounts international cards use mtn mobile money momo everything millions us ready buy stuck checkout add mtn momo app 1 choice ghana please help us shop adding local mobile money options,2026-03-08 19:03:02,0,labeled_reviews_raw,Negative,Neutral,Neutral,Neutral,Neutral,Positive,3,Positive
Russell Perkins,1,disgusting treatment false advertising pair products sold never recieved claiming one items ive got evidence advert order receipt delayed delayed delayed im still fighting refund 2 months line never treated like company seller watch navrider seller total scam ali express enabling many like withholding refund admission negligence,2026-03-10 10:50:39,1,labeled_reviews_raw,Very Negative,Negative,Negative,Negative,Negative,Negative,-8,Negative
Jaco van As,1,hesitant start trusted gut aliexpress scam wait ever get product robbed not giving way ordered complain put provide solid proof say still not enough proof lost money scam reporting play store well,2026-03-11 08:42:40,1,labeled_reviews_raw,Very Negative,Negative,Negative,Negative,Negative,Negative,-1,Negative
CATCH22,3,sellers polite helpful use chat bots item not sent cant get satisfactory answer,2026-03-11 13:23:47,1,labeled_reviews_raw,Negative,Neutral,Negative,Negative,Negative,Positive,2,Positive
Sonia Ikie,1,awful scammers transaction history lost paying goods,2026-03-10 19:19:07,1,labeled_reviews_raw,Very Negative,Negative,Neutral,Very Negative,Negative,Negative,-6,Negative
Alex,1,not buy shop doesnt allow use real name customer service even email ai goes circles dont want buy fine thats,2026-03-11 07:43:39,1,labeled_reviews_raw,Negative,Negative,Negative,Negative,Negative,Negative,-4,Negative
Dokiware,1,shipping fees way ridiculous,2026-03-09 14:26:16,0,labeled_reviews_raw,Negative,Negative,Neutral,Negative,Negative,Negative,-3,Negative
W. Simmons,5,many cool gifts,2026-03-09 08:25:34,0,labeled_reviews_raw,Positive,Positive,Neutral,Positive,Positive,Positive,1,Positive
e G,1,imma give one star false advertisement pricing,2026-03-12 19:22:18,0,labeled_reviews_raw,Very Negative,Negative,Neutral,Very Negative,Negative,Neutral,0,Neutral
Zelda Hulley,1,funny discount removed soon need pay,2026-03-12 14:39:26,0,labeled_reviews_raw,Negative,Negative,Neutral,Negative,Negative,Positive,3,Positive
Bridgette Schram,1,horrible business avoid cost missing item order refused refund asked prove never received use temu faster shipping reliable excellent customer service,2026-03-11 16:39:01,1,labeled_reviews_raw,Very Negative,Negative,Negative,Negative,Negative,Negative,-5,Negative
Rob G,1,terrible customer service impossible get money back faulty product shipped,2026-03-11 02:20:19,1,labeled_reviews_raw,Very Negative,Negative,Negative,Negative,Negative,Negative,-3,Negative
Victor Hugo,1,minha conta está dando problemas de segurança na hora de aplicar cupons porque só para aplicar cupons que dá erro de segurança duvido que se fosse uma compra ele iria dar mesmo bloqueio,2026-03-08 15:49:28,0,labeled_reviews_raw,Negative,Negative,Neutral,Negative,Negative,Neutral,0,Neutral
Holly Benitez,5,purchased set ear buds for99 ive happy im going try make another purchase another great item,2026-03-10 02:35:23,0,labeled_reviews_raw,Positive,Positive,Positive,Positive,Positive,Positive,6,Positive
Victor S,3,years usage ive noticed something different purchases buying something high ratings later open item already bought realize another store item low ratings obviously another store owned person like buy something average rating 49 stars one store later see purchased another store 41 rating,2026-03-09 05:11:23,8,labeled_reviews_raw,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,2,Positive
Kevin Rankin,1,taken money 2 occasions never delivered item not provide refund customer service worst send lengthy pasted messages no relevance response go back pathetic customer service wrote,2026-03-09 04:12:30,0,labeled_reviews_raw,Negative,Negative,Negative,Negative,Negative,Negative,-5,Negative
Yamileth Vides,1,muy mal experiencia con esta app no te permite hacer ningún retorno ni aunque el cliente tenga la razón yo ordene dos vestido de quinceañera enviaron algo totalmente diferente lo que ofrece yo les envie fotos pruebas de lo que estaba diciendo ni aun asi dieron la autorización para devolver los vestido asi que toco quedarme con ellos solo malgaste mi dinero en esta app mi calificación para alixpress es de cero,2026-03-08 04:36:45,0,labeled_reviews_raw,Very Negative,Negative,Neutral,Very Negative,Negative,Negative,0,Neutral
Dirty South 316,1,absolute jokedo not use website absolute joke,2026-03-11 00:23:02,1,labeled_reviews_raw,Very Negative,Negative,Negative,Negative,Negative,Positive,2,Positive
Matt Schellhaas,5,lalalaley try aliexpress thery not freaking scammers trust aliexpress good,2026-03-10 23:33:59,0,labeled_reviews_raw,Negative,Positive,Neutral,Negative,Negative,Positive,2,Positive
Marisol Chico (TheAmazingDuck),1,alot sellers sell extremely cheap items purchase item boosts profile sales page makes look good reality dont item message cancel order price accidentally marked incorrectly another seller told dont receive item much wouldnt know get shipped cancel need urgently one stop store carino store scammers,2026-03-07 02:24:39,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative,Negative,Positive,1,Positive
Paris Tunc,1,r seller send scam 2kg battery instead 20kg 160 charged 2 weeks make still stuck limbo read review well known con artist many people l criminal minded company not cancelling fraud reveryday multiple times nothing warned put bank case give total black list brand didnt listen got email paying willpenalise,2026-03-12 04:45:50,0,labeled_reviews_raw,Very Negative,Negative,Negative,Negative,Negative,Negative,-3,Negative
Jamie Harris,1,unsubscribe certain notification categories still receive notifications categories practice unlawful,2026-03-12 10:41:23,0,labeled_reviews_raw,Negative,Negative,Neutral,Negative,Negative,Positive,1,Positive
Stefan Flavius Chiper,5,cumpărați cu încredere produsele sunt de calitate înaltă și chiar sunt foarte bune indiferent de faptul că sunt produse în china nu avut niciodată problema cu cumpărăturile ba chiar prins niște oferte foarte avantajoase la produse de la branduri populare,2026-03-09 15:26:03,0,labeled_reviews_raw,Positive,Positive,Neutral,Positive,Positive,Neutral,0,Neutral
Mark KERR,5,easy navigate,2026-03-07 03:48:09,0,labeled_reviews_raw,Positive,Positive,Neutral,Positive,Positive,Positive,1,Positive
Martin Gray,1,tried ordered things one offers package arrived yodel left doorstep hours finally got home opened half items missing customer support unable figure want refund items replacing keep trying blame courier edit went horrendous refund process raise refund per item missing got rejected no proof courier didnt video opening crazy,2026-03-12 09:22:16,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative,Negative,Negative,-5,Negative
Sara Oliver,5,easy shopping fun innovative broad selections,2026-03-12 14:36:42,0,labeled_reviews_raw,Positive,Positive,Neutral,Positive,Positive,Positive,7,Positive
Trisna Di Japan,1,scam order not sent maybe free,2026-03-08 23:13:33,0,labeled_reviews_raw,Very Negative,Negative,Negative,Negative,Negative,Negative,-3,Negative
Mike M,2,advertising one thing sending another still waiting customer service get back order,2026-03-10 16:17:36,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative,Negative,Neutral,0,Neutral
porscha foster,1,talk false advertisements downloaded prove ps5 advertise ads 1 said yeah right downloaded 90016k plus 4065 shipping fees im sure grab ps5 around 500 shops no shipping,2026-03-09 20:28:00,1,labeled_reviews_raw,Neutral,Negative,Neutral,Neutral,Neutral,Negative,1,Positive
Roeleen Bloemhof,2,not spanish emails come spanish annoying nothing happens following said,2026-03-08 00:34:54,0,labeled_reviews_raw,Negative,Negative,Negative,Negative,Negative,Negative,-2,Negative
Asia Johnson,3,buy guys,2026-03-12 20:36:18,0,labeled_reviews_raw,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,0,Neutral
Kelly Baker,3,hi problems app ive updated also uninstall reinstalled wont let free gjft says keeps saying doesnt support viewing local supermarket items please update app latest version done please sort,2026-03-09 13:48:51,0,labeled_reviews_raw,Negative,Neutral,Neutral,Neutral,Neutral,Negative,-1,Negative
I love Fnaf,5,ι αм ηєω нєяє αη ѕσяяу ι υѕє тнιѕ ƒσηт ι αм 9 уєαяѕ σℓ αη ι ƒιη тнιѕ νєяу σηƒυѕιηg вυт ι ℓσνє ιт ιтѕ ƒυη ωнєяє уσυ gєт αρρѕ,2026-03-09 18:15:45,0,labeled_reviews_raw,Very Positive,Positive,Neutral,Very Positive,Positive,Neutral,0,Neutral
Craig Maybury,1,app crashing constantly cant acess play earm area,2026-03-11 02:53:35,0,labeled_reviews_raw,Negative,Negative,Neutral,Negative,Negative,Negative,0,Neutral
frank quru,1,repetitive irrelevant responses never address raised issues directly 2 months since placed order still keep telling transit arrived country 40 days ago see reply stupid still wanting repeat issue see ridiculous response,2026-03-09 03:10:22,1,labeled_reviews_raw,Very Negative,Negative,Negative,Negative,Negative,Negative,-5,Negative
Xzaevory Gonzalez,3,,2026-03-10 06:16:52,1,labeled_reviews_raw,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,0,Neutral
Jasmine Morris,5,awesome,2026-03-08 01:32:57,0,labeled_reviews_raw,Very Positive,Positive,Neutral,Very Positive,Positive,Positive,4,Positive
Misty Vanhorn,5,fast delivery good prices items products look good,2026-03-10 07:58:37,0,labeled_reviews_raw,Positive,Positive,Positive,Positive,Positive,Positive,6,Positive
Bennett Woodsum,2,mad said total 2 dollars charged 10 mad,2026-03-08 02:37:57,0,labeled_reviews_raw,Neutral,Negative,Neutral,Neutral,Neutral,Negative,-9,Negative
Johan Spruyt,1,not recommend aliexpress ordered item never received tracking appears item never sent no item no refund say item local customs yet contacting customs find nothing supplied tracking number shop risk,2026-03-10 06:37:24,1,labeled_reviews_raw,Very Negative,Negative,Negative,Negative,Negative,Negative,-4,Negative
Arminas Matulevicius,5,couldnt say anything bad like amazon cheaper lot cheaper u get prizes,2026-03-12 08:39:04,0,labeled_reviews_raw,Positive,Positive,Negative,Positive,Positive,Positive,-1,Negative
Michael Ward,1,ive tried contacting aliexpress numerous occasions no replyi ordered item january order still not arrived checked tracker saying shipment cancelled no explanation arrive lost patience themwhy cant communication,2026-03-12 18:54:50,0,labeled_reviews_raw,Neutral,Negative,Negative,Negative,Negative,Negative,2,Positive
Senzo blessing Cele,5,yes pay,2026-03-12 06:20:22,0,labeled_reviews_raw,Neutral,Positive,Neutral,Neutral,Neutral,Positive,0,Neutral
Luna,1,item missing order trouble getting money back,2026-03-09 16:33:13,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative,Negative,Negative,-4,Negative
Eyo Peter,3,ordering nigeria know one way trip item damaged wont able return ive lost serious money almost 100k one sellers sent amoled display doesnt work platform doesnt realistic return logistics nigeria like temu take risk go ahead,2026-03-12 01:16:13,1,labeled_reviews_raw,Negative,Neutral,Neutral,Neutral,Neutral,Negative,-3,Negative
Great Mogbey,4,agood app buy old thing buy high shipping fee,2026-03-07 09:20:04,0,labeled_reviews_raw,Negative,Positive,Neutral,Negative,Negative,Neutral,0,Neutral
Evarest Natse,1,ali express worst ive following refund 4 months till today never gotten money back app full scammers want money dont buy anything ali express,2026-03-10 12:19:25,1,labeled_reviews_raw,Very Negative,Negative,Negative,Negative,Negative,Negative,-2,Negative
Shermonia Dobbs,5,wait package offer discounts play games add order,2026-03-09 04:43:07,0,labeled_reviews_raw,Neutral,Positive,Neutral,Neutral,Neutral,Positive,0,Neutral
Marcie Graham,1,never got stuff lied mailing source dont trust lost money temu better,2026-03-11 21:53:27,0,labeled_reviews_raw,Very Negative,Negative,Negative,Negative,Negative,Positive,6,Positive
Sal,5,thank,2026-03-09 13:29:35,0,labeled_reviews_raw,Positive,Positive,Neutral,Positive,Positive,Positive,2,Positive
Gorebox gaming yt,5,cheap almost items free shipping tho shipping times could faster,2026-03-08 05:43:35,0,labeled_reviews_raw,Very Negative,Positive,Neutral,Very Negative,Negative,Positive,1,Positive
ПСИХОПАТИНА,1,lies every turn,2026-03-12 01:37:03,0,labeled_reviews_raw,Neutral,Negative,Neutral,Neutral,Neutral,Negative,0,Neutral
Sissie Payne,1,bad customer service,2026-03-09 16:56:06,1,labeled_reviews_raw,Negative,Negative,Negative,Negative,Negative,Negative,-3,Negative
Mark -,1,cant upload videos app requesting refund,2026-03-09 21:28:32,1,labeled_reviews_raw,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,0,Neutral
rrockstaarr,1,terrible app havnt received orders well month no refund keep replying someone get back within 2448 hours message every three days still response not buy,2026-03-12 10:18:33,1,labeled_reviews_raw,Very Negative,Negative,Negative,Negative,Negative,Negative,-3,Negative
SHaina Callaway,5,biy plows 67 since,2026-03-09 03:42:08,0,labeled_reviews_raw,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,0,Neutral
Angela Stern,1,garbage no comment,2026-03-10 06:11:01,1,labeled_reviews_raw,Very Negative,Negative,Neutral,Very Negative,Negative,Negative,0,Neutral
trish Pyles,1,not load,2026-03-09 23:21:46,1,labeled_reviews_raw,Negative,Negative,Negative,Negative,Negative,Neutral,0,Neutral
Samarth Sandeep,1,far worst app bought 3 products non came contact shipping company instantly hang highly whould not recommend 5 star reviews probobly bots one worst apps not install use happend friend,2026-03-12 22:14:26,0,labeled_reviews_raw,Very Negative,Negative,Negative,Negative,Negative,Negative,-8,Negative
Hassan Jones,1,not deliver package asked refund replacement ignored never received anything back regarding situation,2026-03-10 23:58:35,1,labeled_reviews_raw,Negative,Negative,Negative,Negative,Negative,Negative,-2,Negative
Mr Smith,1,stopped accepting debitcredit card,2026-03-12 00:05:51,0,labeled_reviews_raw,Negative,Negative,Neutral,Negative,Negative,Positive,0,Neutral
Nwaneri Chrisbless,1,delivery tracking process especially electronics gadgets coming china terrible times even tracking update stops updating customer service know nothing youll dark weeks no information orders whereabouts condition yeah understand delivery time varies buh least fv ck ing keep updated sometimes feel like uninstalling app stick temu,2026-03-07 13:45:51,0,labeled_reviews_raw,Very Negative,Negative,Negative,Negative,Negative,Negative,-1,Negative
CLEAVER SAMAKAYI,2,improve african services not good app use ordering africa also stop sending ads email,2026-03-07 06:58:50,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative,Negative,Negative,-2,Negative
Atif Ahmed,5,good,2026-03-10 17:21:46,0,labeled_reviews_raw,Positive,Positive,Positive,Positive,Positive,Positive,3,Positive
De P,1,consistently got pop saying error order could not completed contacting customer service not help kept getting sent circles,2026-03-08 06:01:26,1,labeled_reviews_raw,Negative,Negative,Negative,Negative,Negative,Negative,-4,Negative
Zachary Hernandez,1,signed account instantly got account locked could even make first purchase appealed still didnt tell account locked waste time,2026-03-12 05:26:23,0,labeled_reviews_raw,Very Negative,Negative,Neutral,Very Negative,Negative,Negative,-1,Negative
Delawno Allen,5,personally app reliable really like selection items affordable exceeded expectations first order overall wonderful app,2026-03-07 08:17:18,0,labeled_reviews_raw,Positive,Positive,Neutral,Positive,Positive,Positive,6,Positive
J,5,really good app products come good shape affordable prices,2026-03-11 12:05:12,0,labeled_reviews_raw,Positive,Positive,Positive,Positive,Positive,Positive,6,Positive
Jagger Norden,2,prices good hate choice thing almost everything choice want buy one thing not three please remove aliexpress,2026-03-12 13:02:02,1,labeled_reviews_raw,Negative,Negative,Negative,Negative,Negative,Negative,0,Neutral
Diane,1,mostly everything bought cheap flimsy junk especially clothing new site bought lot stuff wish hadnt could found nicer stuff thrown away dumpster several items never even received complained ignored no customer service phone number tried cancel couple orders immediately ordered sent anyway charged despite effort put customer service,2026-03-09 03:00:26,0,labeled_reviews_raw,Very Negative,Negative,Negative,Negative,Negative,Negative,-3,Negative
S LMK,1,really sick constant pop ups ads let purchase peace ffs unable turn constant promotional messages stores flood message center impossible find important messages user experience could not possibly frustrating not want play stupid mobile game coins absolute masterclass userhostile hateful design,2026-03-10 05:43:29,3,labeled_reviews_raw,Very Negative,Negative,Negative,Negative,Negative,Negative,5,Positive
Thomas Arthur,5,amazed,2026-03-12 07:25:11,0,labeled_reviews_raw,Very Positive,Positive,Neutral,Very Positive,Positive,Positive,2,Positive
Honor Ao,1,item ordered never arrived also reorder still nothing waste moneyon apk,2026-03-12 18:57:06,0,labeled_reviews_raw,Very Negative,Negative,Negative,Negative,Negative,Positive,1,Positive
GalaxyA05s,5,5stars,2026-03-07 05:08:31,0,labeled_reviews_raw,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,0,Neutral
Fractal Codex,1,no way view complete order individual items joke,2026-03-08 08:14:27,0,labeled_reviews_raw,Very Negative,Negative,Neutral,Very Negative,Negative,Neutral,2,Positive
Lebohang Pasane,1,worst experience ever nice bought bought became cold negligent lied said order country never arrived thats go scamming people judgement surely befall forgive no strings attached feel sorry,2026-03-12 20:04:32,0,labeled_reviews_raw,Very Negative,Negative,Negative,Negative,Negative,Negative,-2,Negative
Cynthia Swartout,1,not unsubscribed still get emails not interested company dont know still get emails unsubscribed wish would stop sending emails please thank,2026-03-12 09:46:43,0,labeled_reviews_raw,Negative,Negative,Negative,Negative,Negative,Positive,1,Positive
kourtly dentley,1,dont order wates time never came win order price went,2026-03-09 15:51:48,1,labeled_reviews_raw,Negative,Negative,Negative,Negative,Negative,Negative,-4,Negative
Toni Dawn Moore,4,never shopped yet,2026-03-12 21:24:39,0,labeled_reviews_raw,Very Negative,Positive,Negative,Very Negative,Negative,Neutral,0,Neutral
Gary Shaw,3,ok play games shop really not,2026-03-12 08:08:25,0,labeled_reviews_raw,Positive,Neutral,Negative,Positive,Positive,Positive,0,Neutral
Travis Campbell,2,good,2026-03-09 02:27:46,0,labeled_reviews_raw,Positive,Negative,Positive,Positive,Positive,Positive,3,Positive
sathish malamkunnu,1,price goods temu better aliexpress,2026-03-08 21:31:38,1,labeled_reviews_raw,Neutral,Negative,Neutral,Neutral,Neutral,Positive,2,Positive
Angie,1,prices not honest add cart select shipping prices become higher careful dishonest marketing tell one cheap price upcharge purchase item,2026-03-09 23:47:09,1,labeled_reviews_raw,Negative,Negative,Negative,Negative,Negative,Negative,-2,Negative
Abba abdullahi,5,gud app,2026-03-08 22:25:24,0,labeled_reviews_raw,Positive,Positive,Neutral,Positive,Positive,Neutral,0,Neutral
Dash Mxt,1,youre need products quickly may get heart attack coz take forever may even forget think scam,2026-03-12 19:19:55,0,labeled_reviews_raw,Negative,Negative,Neutral,Negative,Negative,Negative,-4,Negative
Sara J,1,no register account,2026-03-11 11:22:59,0,labeled_reviews_raw,Negative,Negative,Neutral,Negative,Negative,Negative,0,Neutral
--,1,im not registered google email address forcing useless npcs cant sign anymore cant write email address aliexpress reading google play email violating gdpr,2026-03-09 22:52:26,1,labeled_reviews_raw,Very Negative,Negative,Negative,Negative,Negative,Negative,-4,Negative
Rick Hess,5,far everything ordered fine order things need,2026-03-08 19:14:09,0,labeled_reviews_raw,Positive,Positive,Neutral,Positive,Positive,Positive,2,Positive
Hazator,1,theres no new suggestionsif u ever search click one product itll haunt u forever recommendations everything related would throwed u even u uninterest,2026-03-08 04:26:35,1,labeled_reviews_raw,Neutral,Negative,Neutral,Neutral,Neutral,Negative,-1,Negative
Kayanat Anika,1,honestly think problem cuz cant download,2026-03-12 23:21:40,0,labeled_reviews_raw,Negative,Negative,Negative,Negative,Negative,Positive,-2,Negative
Akun John,4,thumbs upis way turn dark theme mode app,2026-03-07 02:14:24,0,labeled_reviews_raw,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,0,Neutral
Herby Osbourne,1,horrible customer service locked account wont give reason help get back,2026-03-08 13:09:19,0,labeled_reviews_raw,Very Negative,Negative,Negative,Negative,Negative,Negative,-1,Negative
Ethel Reid,1,not letting pick want,2026-03-11 04:43:07,0,labeled_reviews_raw,Negative,Negative,Negative,Negative,Negative,Negative,-1,Negative
adamebrahiem 6,1,terrible keep saying account freezing account risk registration,2026-03-09 15:16:40,0,labeled_reviews_raw,Negative,Negative,Negative,Negative,Negative,Negative,-5,Negative
Benjamin Brewer,4,like app good,2026-03-11 08:53:13,0,labeled_reviews_raw,Positive,Positive,Positive,Positive,Positive,Positive,5,Positive
Ruth Mawson,1,account locked ive never used aliexpress download thing youre account locked tried sign wouldnt email phone number first no uk code suddenly im aliexpress site go look something please sign phone number please enter valid phone number enter time uk code front please enter valid phone number never uninstalling,2026-03-12 00:58:13,2,labeled_reviews_raw,Very Negative,Negative,Negative,Negative,Negative,Positive,3,Positive
a7med_fix,1,take item returned refund unfortunately first take item refuse refund cheating unfortunately bad customer service money 1050 usd dollars gone not give life,2026-03-08 05:00:26,0,labeled_reviews_raw,Very Negative,Negative,Negative,Negative,Negative,Negative,-5,Negative
John Ogba,1,bad experience bought fake damaged glasses no compensation wasted 3299 nothing not use video camera glasses twice stopped charging sudden glasses pulled lens disappointed customer service said cannot anything means dispose glasses lose money continue give bad feedback nothing done,2026-03-12 09:40:26,0,labeled_reviews_raw,Very Negative,Negative,Negative,Negative,Negative,Negative,-10,Negative
Ankur Jain,1,simple words pathetic experience aliexpress best whoever using portal,2026-03-12 01:40:07,0,labeled_reviews_raw,Very Negative,Negative,Positive,Very Negative,Negative,Positive,1,Positive
Gerri Cooper,1,ive enough purchasing things item come totally different purchased not coming get refund without even let know not coming im not shopping anymore sellers crooks false advertising straight not good platform buy things give one star theres no less one,2026-03-10 00:51:45,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative,Negative,Negative,-2,Negative
Ben Hunt,1,dont honor fast ship program get run around spend extra dollars get tic tok shop,2026-03-08 12:35:23,0,labeled_reviews_raw,Negative,Negative,Neutral,Negative,Negative,Negative,-2,Negative
roger whittle,4,positive overall sometimes confusing,2026-03-08 11:19:38,0,labeled_reviews_raw,Positive,Positive,Neutral,Positive,Positive,Positive,0,Neutral
Michael K,1,aliexpress reached new low not fail deliver combined shipment multiple items also provided false tracking information paypal block legitimate refund support nonexistent buyer protection complete fabrication escalating fraudulent transaction credit card company force chargeback not trust platform money lie payment processors avoid taking responsibility,2026-03-12 10:28:27,1,labeled_reviews_raw,Very Negative,Negative,Negative,Negative,Negative,Negative,-2,Negative
Jesson,1,brought faulty item refused credit refund unable submit video pictures due site not accepting files even though format correct uninstalling mere 12,2026-03-12 12:23:59,0,labeled_reviews_raw,Very Negative,Negative,Negative,Negative,Negative,Negative,-3,Negative
FRITOSPORT,1,scammers frauds protect seller store never ships products provide fake tracking numbers senior teams never help get refund item never delivered provide proof yet never help company doesnt honor 20day refund rule stay away thieves,2026-03-07 15:46:25,1,labeled_reviews_raw,Very Negative,Negative,Negative,Negative,Negative,Negative,-12,Negative
Bertha Mata,5,love continue order update havent purchased anything years someone used info purchased 200 dollars worth stuff uninstalled app miss ali,2026-03-08 19:08:19,0,labeled_reviews_raw,Negative,Positive,Positive,Positive,Positive,Positive,3,Positive
Eric Laforge,1,always get scammed always find way,2026-03-10 23:15:15,198,labeled_reviews_raw,Positive,Negative,Neutral,Positive,Positive,Neutral,0,Neutral
Emily Coleman,5,everything cheap easy order receive time always good products,2026-03-12 01:45:45,0,labeled_reviews_raw,Very Positive,Positive,Positive,Positive,Positive,Positive,4,Positive
Kim Barber,5,good far,2026-03-08 04:08:52,0,labeled_reviews_raw,Positive,Positive,Positive,Positive,Positive,Positive,3,Positive
Faith McLean,5,love aliexpress theyre much better another online place buy stuff buy something 2 dont spend 20 like website far not disappointed anything bought bought lot stuff month half ive bought 100 items not,2026-03-11 23:58:23,0,labeled_reviews_raw,Negative,Positive,Negative,Negative,Negative,Positive,5,Positive
Anthoz Duppiez,4,love app,2026-03-10 09:31:45,0,labeled_reviews_raw,Positive,Positive,Positive,Positive,Positive,Positive,3,Positive
