userName,score,content,at,thumbsUpCount,source,truthLabel,score_based,rule_based,final_label
Russell Perkins,1,disgusting treatment false advertising a pair of products that were sold but never recieved claiming it was only one of the items when ive got evidence from advert and order receipt delayed delayed delayed now im still fighting for a refund 2 months down the line never been treated like this by a company and their seller watch out for navrider seller total scam ali express are enabling many like them and withholding my refund after admission of negligence,2026-03-10 10:50:39,1,labeled_reviews_raw,Negative,Negative,Negative,Negative
Jaco van As,1,i was hesitant from the start and should have trusted my gut aliexpress is a scam you wait for ever to get your product and then they robbed you by not giving it the way you ordered when you complain they put it on you to provide solid proof the you do that and they say its still not enough proof i just lost money what a scam will be reporting this to play store as well,2026-03-11 08:42:40,1,labeled_reviews_raw,Negative,Negative,Negative,Negative
CATCH22,3,sellers are polite and helpful but some use chat bots that when an item is not sent you cant get a satisfactory answer ,2026-03-11 13:23:47,1,labeled_reviews_raw,Negative,Neutral,Negative,Negative
Sonia Ikie,1,awful scammers my transaction history is lost after paying for goods,2026-03-10 19:19:07,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative
Alex,1,i can not buy from their shop it doesnt allow me to use my real name their customer service even email is ai and goes in circles if they dont want me to buy fine thats on them,2026-03-11 07:43:39,1,labeled_reviews_raw,Negative,Negative,Negative,Negative
Dokiware,1,the shipping fees are way too ridiculous,2026-03-09 14:26:16,0,labeled_reviews_raw,Negative,Negative,Neutral,Negative
W. Simmons,5,so many cool gifts,2026-03-09 08:25:34,0,labeled_reviews_raw,Positive,Positive,Neutral,Positive
e G,1,imma have to give this one star  only because of its false advertisement on the pricing,2026-03-12 19:22:18,0,labeled_reviews_raw,Negative,Negative,Neutral,Negative
Zelda Hulley,1,funny how the discount is removed as soon as you need to pay,2026-03-12 14:39:26,0,labeled_reviews_raw,Negative,Negative,Neutral,Negative
Bridgette Schram,1,horrible business avoid at all cost i was missing an item from my order and they refused a refund asked me to prove that i never received it use temu faster shipping reliable and excellent customer service,2026-03-11 16:39:01,1,labeled_reviews_raw,Negative,Negative,Negative,Negative
Rob G,1,terrible customer service impossible to get your money back when a faulty product is shipped,2026-03-11 02:20:19,1,labeled_reviews_raw,Negative,Negative,Negative,Negative
Victor Hugo,1,minha conta está dando problemas de segurança na hora de aplicar cupons porque só para aplicar cupons que dá erro de segurança duvido que se fosse uma compra ele iria dar o mesmo bloqueio,2026-03-08 15:49:28,0,labeled_reviews_raw,Negative,Negative,Neutral,Negative
Holly Benitez,5,i purchased a set of ear buds for99 and ive been so happy with them now im going to try to make another purchase for another great item ,2026-03-10 02:35:23,0,labeled_reviews_raw,Positive,Positive,Positive,Positive
Victor S,3,after years of usage ive noticed something different with some purchases after buying something with high ratings and later open the item you already bought you realize its from another store where that same item has low ratings obviously another store owned by the same person like you buy something with average rating of 49 stars in one store and later see that it was purchased from another store with a 41 rating,2026-03-09 05:11:23,8,labeled_reviews_raw,Neutral,Neutral,Neutral,Neutral
Kevin Rankin,1,they have taken my money on 2 occasions and never delivered the item and did not provide a refund their customer service is the worst they send lengthy pasted messages that have no relevance their response was to go back to the same pathetic customer service that i wrote this about,2026-03-09 04:12:30,0,labeled_reviews_raw,Negative,Negative,Negative,Negative
Yamileth Vides,1,muy mal experiencia con esta app no te permite hacer ningún retorno ni aunque el cliente tenga la razón yo ordene dos vestido de quinceañera y me enviaron algo totalmente diferente a lo que ofrece yo les envie fotos y pruebas de lo que estaba diciendo y ni aun asi me dieron la autorización para devolver los vestido asi que me toco quedarme con ellos solo malgaste mi dinero en esta app mi calificación para alixpress es de cero,2026-03-08 04:36:45,0,labeled_reviews_raw,Negative,Negative,Neutral,Negative
Dirty South 316,1,absolute jokedo not use this website absolute joke,2026-03-11 00:23:02,1,labeled_reviews_raw,Negative,Negative,Negative,Negative
Matt Schellhaas,5,i lalalaley try aliexpress before and thery are not freaking scammers trust me aliexpress its good,2026-03-10 23:33:59,0,labeled_reviews_raw,Negative,Positive,Neutral,Negative
Marisol Chico (TheAmazingDuck),1,alot of the sellers sell extremely cheap items just so that you can purchase the item which boosts their profile and sales on their page and makes them look good in reality they dont have the item and will message you to cancel the order because  the price was accidentally marked incorrectly  another seller told me they dont receive that item that much so they wouldnt know when it will get shipped and to cancel if i need it urgently  one stop store and carino store are the scammers,2026-03-07 02:24:39,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative
Paris Tunc,1,there r seller send me a scam 2kg battery instead of 20kg and 160 they charged me after 2 weeks they make me still stuck to in limbo and i read all review and he is a well known con artist as many people had same l so this is a criminal minded company for not cancelling those fraud reveryday multiple times and they did nothing as i warned them to put bank into case to give a total black list for that brand and they didnt listen and i got email that they are paying me and they willpenalise,2026-03-12 04:45:50,0,labeled_reviews_raw,Negative,Negative,Negative,Negative
Jamie Harris,1,when i unsubscribe from certain notification categories i still receive notifications for those categories this practice is unlawful,2026-03-12 10:41:23,0,labeled_reviews_raw,Negative,Negative,Neutral,Negative
Stefan Flavius Chiper,5,cumpărați cu încredere produsele sunt de calitate înaltă și chiar sunt foarte bune indiferent de faptul că sunt produse în china nu am avut niciodată problema cu cumpărăturile ba chiar am prins niște oferte foarte avantajoase la produse de la branduri populare,2026-03-09 15:26:03,0,labeled_reviews_raw,Positive,Positive,Neutral,Positive
Mark KERR,5,easy to navigate,2026-03-07 03:48:09,0,labeled_reviews_raw,Positive,Positive,Neutral,Positive
Martin Gray,1,tried this and ordered a few things through one of their offers the package arrived with yodel left on my doorstep for hours finally got home and opened it and half the items are missing and the customer support is unable to figure out i want a refund or the items replacing keep trying to blame courier edit  went through the horrendous refund process where you have to raise a refund per item missing all got rejected as i have no proof from the courier and didnt video the opening crazy,2026-03-12 09:22:16,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative
Sara Oliver,5,easy shopping with fun innovative broad selections,2026-03-12 14:36:42,0,labeled_reviews_raw,Positive,Positive,Neutral,Positive
Trisna Di Japan,1,scam my order was not sent maybe because it was free,2026-03-08 23:13:33,0,labeled_reviews_raw,Negative,Negative,Negative,Negative
Mike M,2,advertising one thing but sending another still waiting for their customer service to get back to me on my order,2026-03-10 16:17:36,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative
porscha foster,1,talk about false advertisements only downloaded to prove that the ps5 they advertise on the ads was for 1 i said yeah right downloaded and they are between 90016k plus between 4065 shipping fees im sure you can grab a ps5 for around 500 in shops with no shipping,2026-03-09 20:28:00,1,labeled_reviews_raw,Neutral,Negative,Neutral,Neutral
Roeleen Bloemhof,2,i am not spanish all emails come in spanish it is very annoying nothing happens following and doing what you said,2026-03-08 00:34:54,0,labeled_reviews_raw,Negative,Negative,Negative,Negative
Asia Johnson,3,buy from these guys,2026-03-12 20:36:18,0,labeled_reviews_raw,Negative,Neutral,Neutral,Neutral
Kelly Baker,3,hi i am having problems with the app ive updated it and also uninstall it and reinstalled it but it wont let me have the free gjft that it says i have won as it keeps saying it doesnt support me viewing local supermarket items please update your app to our latest version i have done please sort this out,2026-03-09 13:48:51,0,labeled_reviews_raw,Negative,Neutral,Neutral,Neutral
I love Fnaf,5,ι αм ηєω нєяє αη ѕσяяу ι υѕє тнιѕ ƒσηт ι αм 9 уєαяѕ σℓ αη ι ƒιη тнιѕ νєяу σηƒυѕιηg вυт ι ℓσνє ιт ιтѕ ƒυη ωнєяє уσυ gєт αρρѕ,2026-03-09 18:15:45,0,labeled_reviews_raw,Positive,Positive,Neutral,Positive
Craig Maybury,1,the app is crashing constantly now i cant acess the play and earm area at all,2026-03-11 02:53:35,0,labeled_reviews_raw,Negative,Negative,Neutral,Negative
frank quru,1,repetitive and irrelevant responses never address raised issues directly been 2 months since i placed a order they still keep telling me its in transit arrived i country 40 days ago see reply how stupid can they be still wanting me to repeat my issue again see their ridiculous response,2026-03-09 03:10:22,1,labeled_reviews_raw,Negative,Negative,Negative,Negative
Xzaevory Gonzalez,3,,2026-03-10 06:16:52,1,labeled_reviews_raw,Neutral,Neutral,Neutral,Neutral
Jasmine Morris,5,awesome ,2026-03-08 01:32:57,0,labeled_reviews_raw,Positive,Positive,Neutral,Positive
Misty Vanhorn,5,fast delivery  good prices on most the items products look good,2026-03-10 07:58:37,0,labeled_reviews_raw,Positive,Positive,Positive,Positive
Bennett Woodsum,2,i am mad it said my total was 2 dollars and i was charged 10 i am mad,2026-03-08 02:37:57,0,labeled_reviews_raw,Neutral,Negative,Neutral,Neutral
Johan Spruyt,1,i do not recommend aliexpress ordered item never received after tracking it appears the item was never sent no item and no refund they say item is in local customs yet when contacting customs they find nothing under the supplied tracking number shop on own risk,2026-03-10 06:37:24,1,labeled_reviews_raw,Negative,Negative,Negative,Negative
Arminas Matulevicius,5,i couldnt say anything bad is like amazon but cheaper a lot cheaper and u get prizes,2026-03-12 08:39:04,0,labeled_reviews_raw,Positive,Positive,Negative,Positive
Michael Ward,1,ive tried contacting aliexpress on numerous occasions with no replyi ordered an item in january and order still not arrived checked tracker saying shipment cancelled but have no explanation into when it will arrive lost patience with themwhy cant i have some communication,2026-03-12 18:54:50,0,labeled_reviews_raw,Neutral,Negative,Negative,Negative
Senzo blessing Cele,5,yes i will pay,2026-03-12 06:20:22,0,labeled_reviews_raw,Neutral,Positive,Neutral,Neutral
Luna,1,had a item missing from order and having trouble getting my money back,2026-03-09 16:33:13,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative
Eyo Peter,3,if you are ordering from nigeria just know that its a one way trip if item is damaged you wont be able to return it ive lost serious money because of this almost 100k after one of the sellers sent me a amoled display that doesnt work the platform doesnt have a realistic return logistics for nigeria like temu so if you can take the risk then go ahead,2026-03-12 01:16:13,1,labeled_reviews_raw,Negative,Neutral,Neutral,Neutral
Great Mogbey,4,it agood app for buy old thing buy has high shipping fee,2026-03-07 09:20:04,0,labeled_reviews_raw,Negative,Positive,Neutral,Negative
Evarest Natse,1,ali express are the worst ive been following up on a refund for 4 months and till today i have never gotten my money back the app is full of scammers who just want your money dont buy anything from ali express again,2026-03-10 12:19:25,1,labeled_reviews_raw,Negative,Negative,Negative,Negative
Shermonia Dobbs,5,wait on my package and they do offer discounts and play games to add to your order,2026-03-09 04:43:07,0,labeled_reviews_raw,Neutral,Positive,Neutral,Neutral
Marcie Graham,1,never got my stuff they lied about the mailing source dont trust them i lost out on my money too temu is better,2026-03-11 21:53:27,0,labeled_reviews_raw,Negative,Negative,Negative,Negative
Sal,5,thank you ,2026-03-09 13:29:35,0,labeled_reviews_raw,Positive,Positive,Neutral,Positive
Gorebox gaming yt,5,very very cheap and almost all items have free shipping tho shipping times could be faster,2026-03-08 05:43:35,0,labeled_reviews_raw,Negative,Positive,Neutral,Negative
ПСИХОПАТИНА,1,lies at every turn,2026-03-12 01:37:03,0,labeled_reviews_raw,Neutral,Negative,Neutral,Neutral
Sissie Payne,1,bad customer service,2026-03-09 16:56:06,1,labeled_reviews_raw,Negative,Negative,Negative,Negative
Mark -,1,i cant upload videos to the app when requesting a refund,2026-03-09 21:28:32,1,labeled_reviews_raw,Neutral,Negative,Neutral,Neutral
rrockstaarr,1,terrible app havnt received my orders and its been well over a month no refund they keep replying that someone will get back to me within 2448 hours so i message every three days and still the same response do not buy from here ,2026-03-12 10:18:33,1,labeled_reviews_raw,Negative,Negative,Negative,Negative
SHaina Callaway,5,i can biy plows for 67 since,2026-03-09 03:42:08,0,labeled_reviews_raw,Neutral,Positive,Neutral,Neutral
Angela Stern,1,garbage no comment,2026-03-10 06:11:01,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative
trish Pyles,1,did not load,2026-03-09 23:21:46,1,labeled_reviews_raw,Negative,Negative,Negative,Negative
Samarth Sandeep,1,this is by far the worst app i have bought 3 products from it and non of them have came and when i contact the shipping company they instantly hang up highly whould not recommend most of the 5 star reviews are probobly bots and this is one of the worst apps do not install or use and the same happend to my friend,2026-03-12 22:14:26,0,labeled_reviews_raw,Negative,Negative,Negative,Negative
Hassan Jones,1,they did not deliver my package when i asked for a refund or for a replacement i was ignored and never received anything back regarding the situation,2026-03-10 23:58:35,1,labeled_reviews_raw,Negative,Negative,Negative,Negative
Mr Smith,1,has stopped accepting my debitcredit card,2026-03-12 00:05:51,0,labeled_reviews_raw,Negative,Negative,Neutral,Negative
Nwaneri Chrisbless,1,its just the delivery tracking process for me especially electronics or gadgets coming from china very terrible at times even the tracking update stops updating you their customer service know nothing youll be in the dark for weeks with no information about your orders whereabouts or condition yeah i understand delivery time varies buh at least just fv ck ing keep me updated sometimes i do feel like uninstalling the app and then stick to temu,2026-03-07 13:45:51,0,labeled_reviews_raw,Negative,Negative,Negative,Negative
CLEAVER SAMAKAYI,2,improve african services not a good app to use if you are ordering from africa also stop sending ads in my email,2026-03-07 06:58:50,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative
Atif Ahmed,5,good,2026-03-10 17:21:46,0,labeled_reviews_raw,Positive,Positive,Positive,Positive
De P,1,i consistently got a pop up saying there was an error and my order could not be completed contacting customer service did not help as i just kept getting sent in circles,2026-03-08 06:01:26,1,labeled_reviews_raw,Negative,Negative,Negative,Negative
Zachary Hernandez,1,signed up for an account and instantly got my account locked before i could even make my first purchase when i appealed they still didnt tell me why my account was locked waste of my time,2026-03-12 05:26:23,0,labeled_reviews_raw,Negative,Negative,Neutral,Negative
Delawno Allen,5,personally this app has been very reliable i really like the selection of items they are affordable and exceeded my expectations on my first order overall it is a wonderful app,2026-03-07 08:17:18,0,labeled_reviews_raw,Positive,Positive,Neutral,Positive
J,5,its s really good app and all the products come in good shape and it has affordable prices,2026-03-11 12:05:12,0,labeled_reviews_raw,Positive,Positive,Positive,Positive
Jagger Norden,2,prices are good but i hate that choice thing almost everything is a choice i want to buy one thing not three please remove this aliexpress,2026-03-12 13:02:02,1,labeled_reviews_raw,Negative,Negative,Negative,Negative
Diane,1,mostly everything that i bought from them was cheap flimsy junk especially the clothing i was new on this site and i bought a lot of stuff i wish i hadnt i could have found nicer stuff thrown away in a dumpster several items i never even received when complained i was ignored no customer service phone number i tried to cancel a couple orders immediately after i ordered them it was sent anyway and i was charged for it despite all of the effort that i put in with customer service,2026-03-09 03:00:26,0,labeled_reviews_raw,Negative,Negative,Negative,Negative
S LMK,1,really sick of the constant pop ups and ads just let me purchase in peace ffs unable to turn off constant promotional messages from stores which flood your message center until its impossible to find important messages the user experience could not possibly be more frustrating i do not want to play a stupid mobile game for coins absolute masterclass in userhostile hateful design,2026-03-10 05:43:29,3,labeled_reviews_raw,Negative,Negative,Negative,Negative
Thomas Arthur,5,amazed,2026-03-12 07:25:11,0,labeled_reviews_raw,Positive,Positive,Neutral,Positive
Honor Ao,1,the item i ordered never arrived i also reorder still nothing waste of moneyon this apk,2026-03-12 18:57:06,0,labeled_reviews_raw,Negative,Negative,Negative,Negative
GalaxyA05s,5,5stars,2026-03-07 05:08:31,0,labeled_reviews_raw,Neutral,Positive,Neutral,Neutral
Fractal Codex,1,no way to view a complete order only individual items is this a joke,2026-03-08 08:14:27,0,labeled_reviews_raw,Negative,Negative,Neutral,Negative
Lebohang Pasane,1,worst experience ever they were so nice before i bought but after i bought they became cold and negligent they lied and said my order is in my country but it never arrived if thats how they go about scamming people judgement is surely to befall them i forgive you no strings attached i just feel sorry for you,2026-03-12 20:04:32,0,labeled_reviews_raw,Negative,Negative,Negative,Negative
Cynthia Swartout,1,its just not for me i unsubscribed and i still get emails from them i am not interested in this company and dont know why i still get emails from them when i unsubscribed i wish they would stop sending me emails please and thank you,2026-03-12 09:46:43,0,labeled_reviews_raw,Negative,Negative,Negative,Negative
kourtly dentley,1,dont order wates of time never came then win i order again price went up,2026-03-09 15:51:48,1,labeled_reviews_raw,Negative,Negative,Negative,Negative
Toni Dawn Moore,4,never shopped there yet,2026-03-12 21:24:39,0,labeled_reviews_raw,Negative,Positive,Negative,Negative
Gary Shaw,3,its ok to play games and shop really not for me,2026-03-12 08:08:25,0,labeled_reviews_raw,Positive,Neutral,Negative,Positive
Travis Campbell,2,good,2026-03-09 02:27:46,0,labeled_reviews_raw,Positive,Negative,Positive,Positive
sathish malamkunnu,1,what is this what a price for the goods temu is better than aliexpress,2026-03-08 21:31:38,1,labeled_reviews_raw,Neutral,Negative,Neutral,Neutral
Angie,1,their prices are not honest if you add to cart and select the shipping their prices will become higher be careful this is dishonest marketing they tell you one cheap price then upcharge once you are about to purchase the item,2026-03-09 23:47:09,1,labeled_reviews_raw,Negative,Negative,Negative,Negative
Abba abdullahi,5,gud app,2026-03-08 22:25:24,0,labeled_reviews_raw,Positive,Positive,Neutral,Positive
Dash Mxt,1,if youre in need of the products very quickly you may get a heart attack coz they take forever and you may even forget and think its a scam,2026-03-12 19:19:55,0,labeled_reviews_raw,Negative,Negative,Neutral,Negative
Sara J,1,no where to register for an account ,2026-03-11 11:22:59,0,labeled_reviews_raw,Negative,Negative,Neutral,Negative
--,1,im not registered with a google email address why are you are forcing me to do it you useless npcs i cant sign in anymore cant write my email address because aliexpress is reading my google play email you are violating gdpr,2026-03-09 22:52:26,1,labeled_reviews_raw,Negative,Negative,Negative,Negative
Rick Hess,5,so far everything i have ordered has been fine and i will order more things as the need them,2026-03-08 19:14:09,0,labeled_reviews_raw,Positive,Positive,Neutral,Positive
Hazator,1,theres no new suggestionsif u ever search or click on one product itll haunt u forever in the recommendations and everything related to it would be throwed at u even if u uninterest them,2026-03-08 04:26:35,1,labeled_reviews_raw,Neutral,Negative,Neutral,Neutral
Kayanat Anika,1,honestly i think there is a problem cuz i cant download it,2026-03-12 23:21:40,0,labeled_reviews_raw,Negative,Negative,Negative,Negative
Akun John,4,thumbs upis there a way to turn on dark theme mode in the app,2026-03-07 02:14:24,0,labeled_reviews_raw,Neutral,Positive,Neutral,Neutral
Herby Osbourne,1,horrible customer service locked my account and wont give a reason or help to get it back,2026-03-08 13:09:19,0,labeled_reviews_raw,Negative,Negative,Negative,Negative
Ethel Reid,1,its not letting me pick what i want,2026-03-11 04:43:07,0,labeled_reviews_raw,Negative,Negative,Negative,Negative
adamebrahiem 6,1,that is terrible it keep saying your account is freezing and your account has risk registration,2026-03-09 15:16:40,0,labeled_reviews_raw,Negative,Negative,Negative,Negative
Benjamin Brewer,4,i like this app very good,2026-03-11 08:53:13,0,labeled_reviews_raw,Positive,Positive,Positive,Positive
Ruth Mawson,1,my account is locked ive never used aliexpress download this again same thing youre account is locked tried to sign in wouldnt have email phone number first of all no uk code suddenly im on the aliexpress site go to look at something please sign in with your phone number please enter a valid phone number i enter it again this time with the uk code in front please enter a valid phone number never again uninstalling,2026-03-12 00:58:13,2,labeled_reviews_raw,Negative,Negative,Negative,Negative
a7med_fix,1,the take my item for returned then refund but unfortunately first they take item then refuse to refund they cheating unfortunately very bad customer service and my money 1050 usd dollars gone  i will not give them all my life,2026-03-08 05:00:26,0,labeled_reviews_raw,Negative,Negative,Negative,Negative
John Ogba,1,very bad experience i bought a fake and damaged glasses no compensation i just wasted my 3299 for nothing i did not use the video camera glasses twice it stopped charging and all of a sudden the glasses pulled out from the lens i am so disappointed that your customer service said they cannot do anything that means i should dispose the glasses and lose my money i will continue to give you bad feedback if nothing is done,2026-03-12 09:40:26,0,labeled_reviews_raw,Negative,Negative,Negative,Negative
Ankur Jain,1,in simple words pathetic experience with aliexpress all the best whoever using their portal,2026-03-12 01:40:07,0,labeled_reviews_raw,Negative,Negative,Positive,Negative
Gerri Cooper,1,ive had enough of purchasing things and then having the item come totally different from what i purchased or not coming at all and then i get a refund without even let me know that its not coming im not shopping with them anymore the sellers are crooks false advertising and just straight up not a good platform to buy things from i give it one star because theres no less than one,2026-03-10 00:51:45,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative
Ben Hunt,1,they dont honor their fast ship program all you get is the run around spend the few extra dollars and get it from tic tok shop,2026-03-08 12:35:23,0,labeled_reviews_raw,Negative,Negative,Neutral,Negative
roger whittle,4,positive overall sometimes confusing,2026-03-08 11:19:38,0,labeled_reviews_raw,Positive,Positive,Neutral,Positive
Michael K,1,aliexpress has reached a new low not only did they fail to deliver a combined shipment of multiple items but they also provided false tracking information to paypal to block a legitimate refund the support is nonexistent and the buyer protection is a complete fabrication i am now escalating this as a fraudulent transaction through my credit card company to force a chargeback do not trust this platform with your money they will lie to payment processors to avoid taking responsibility,2026-03-12 10:28:27,1,labeled_reviews_raw,Negative,Negative,Negative,Negative
Jesson,1,brought faulty item refused credit or refund unable to submit video or pictures due to their site not accepting the files even though format was correct uninstalling over a mere 12,2026-03-12 12:23:59,0,labeled_reviews_raw,Negative,Negative,Negative,Negative
FRITOSPORT,1,scammers and frauds they will protect a seller store that never ships your products they provide fake tracking numbers and their senior teams will never help you get your refund for an item that is never delivered you can provide all of the proof and yet they will never help you at all this company doesnt honor their 20day or refund rule stay away from these thieves,2026-03-07 15:46:25,1,labeled_reviews_raw,Negative,Negative,Negative,Negative
Bertha Mata,5,i love them i will continue to order from here update i havent purchased anything in a few years now because someone used my info and purchased 200 dollars worth of stuff so i uninstalled this app but i do miss ali,2026-03-08 19:08:19,0,labeled_reviews_raw,Negative,Positive,Positive,Positive
Eric Laforge,1,i always get scammed they always find a way,2026-03-10 23:15:15,198,labeled_reviews_raw,Positive,Negative,Neutral,Positive
Emily Coleman,5,everything is so cheap and easy to order and receive it on time and its always good products,2026-03-12 01:45:45,0,labeled_reviews_raw,Positive,Positive,Positive,Positive
Kim Barber,5,very good so far,2026-03-08 04:08:52,0,labeled_reviews_raw,Positive,Positive,Positive,Positive
Faith McLean,5,i love aliexpress theyre so much better than another online place where you can buy stuff you can buy something for 2 off of here you dont have to spend 20 like you do on the other website so far i have not been disappointed on anything i bought from them and i have bought a lot of stuff and just a month and a half ive bought over 100 items if not more,2026-03-11 23:58:23,0,labeled_reviews_raw,Negative,Positive,Negative,Negative
Anthoz Duppiez,4,i love this app,2026-03-10 09:31:45,0,labeled_reviews_raw,Positive,Positive,Positive,Positive
S Marie,1,twice i never received my items and was never given a refund the courier never presented proof of delivery both times but said the items were delivered hit or miss good luck im out 70 bucks was told i needed to provide proof i never received the item but wheres the delivery proof picture  scam artists edit i contacted aliexpress help center everyday for almost 3 weeks spent hours wasting my time so no ill just never buy anything ever again please dont waste your time and money people,2026-03-08 12:52:49,0,labeled_reviews_raw,Negative,Negative,Negative,Negative
Leashanta Chism,1,i wish i could give it a minus i had a package stolen even have a police report and couldnt get a refund,2026-03-12 01:02:10,0,labeled_reviews_raw,Negative,Negative,Neutral,Negative
Davis Ron,5,good app,2026-03-09 03:54:02,0,labeled_reviews_raw,Positive,Positive,Positive,Positive
Rubysu aka Natalie Debler,3,my first package arrived but with counterfeit postage i had to pay an extra 1375 to get from my local post office i hope the other 2 do not happen this way,2026-03-12 21:38:03,0,labeled_reviews_raw,Negative,Neutral,Negative,Negative
Kinsley,5,i love it ,2026-03-10 01:40:24,0,labeled_reviews_raw,Positive,Positive,Positive,Positive
